# fueleconomy.gov vehicles dataset, downloaded 2026-05-23, filtered years 2009-2022
year,make,model,mpg_combined,body_type
2009,Acura,MDX 4WD,17.0,Sport Utility Vehicle - 4WD
2009,Acura,RDX 4WD,19.0,Sport Utility Vehicle - 4WD
2009,Acura,RL,18.0,Midsize Cars
2009,Acura,TL 2WD,21.0,Midsize Cars
2009,Acura,TL 4WD,20.0,Midsize Cars
2009,Acura,TSX,24.0,Compact Cars
2009,Alfa Romeo,8 C Spider,13.0,Minicompact Cars
2009,Aston Martin,DB9,13.5,Minicompact Cars
2009,Aston Martin,DBS Coupe,13.5,Two Seaters
2009,Aston Martin,V8 Vantage,14.5,Two Seaters
2009,Audi,A3,24.0,Small Station Wagons
2009,Audi,A3 quattro,22.5,Small Station Wagons
2009,Audi,A4,25.0,Compact Cars
2009,Audi,A4 Avant quattro,23.0,Small Station Wagons
2009,Audi,A4 Cabriolet,25.0,Subcompact Cars
2009,Audi,A4 Cabriolet quattro,21.5,Subcompact Cars
2009,Audi,A4 quattro,23.0,Compact Cars
2009,Audi,A5 quattro,20.0,Subcompact Cars
2009,Audi,A6,21.0,Midsize Cars
2009,Audi,A6 Avant quattro,21.0,Midsize Station Wagons
2009,Audi,A6 quattro,19.5,Midsize Cars
2009,Audi,A8,18.0,Midsize Cars
2009,Audi,A8 L,16.5,Large Cars
2009,Audi,Q5,20.0,Sport Utility Vehicle - 4WD
2009,Audi,Q7,16.0,Sport Utility Vehicle - 4WD
2009,Audi,R8,15.0,Two Seaters
2009,Audi,S4 Cabriolet,15.5,Subcompact Cars
2009,Audi,S5,18.0,Subcompact Cars
2009,Audi,S6,16.0,Midsize Cars
2009,Audi,S8,15.0,Midsize Cars
2009,Audi,TT Coupe,26.0,Subcompact Cars
2009,Audi,TT Coupe quattro,20.0,Subcompact Cars
2009,Audi,TT Roadster,25.0,Two Seaters
2009,Audi,TT Roadster quattro,20.0,Two Seaters
2009,BMW,128i,21.5,Subcompact Cars
2009,BMW,128i Convertible,21.0,Subcompact Cars
2009,BMW,135i,20.0,Subcompact Cars
2009,BMW,135i Convertible,20.0,Subcompact Cars
2009,BMW,328ci,21.5,Subcompact Cars
2009,BMW,328ci Convertible,20.5,Subcompact Cars
2009,BMW,328ci xDrive,20.0,Subcompact Cars
2009,BMW,328i,21.5,Compact Cars
2009,BMW,328i Sport Wagon,20.5,Small Station Wagons
2009,BMW,328i Sport Wagon xDrive,20.0,Small Station Wagons
2009,BMW,328i xDrive,20.0,Compact Cars
2009,BMW,335ci,20.0,Subcompact Cars
2009,BMW,335ci Convertible,20.0,Subcompact Cars
2009,BMW,335ci xDrive,19.5,Subcompact Cars
2009,BMW,335d,27.0,Compact Cars
2009,BMW,335i,20.0,Compact Cars
2009,BMW,335i xDrive,19.5,Compact Cars
2009,BMW,528i,21.0,Midsize Cars
2009,BMW,528i xDrive,20.0,Midsize Cars
2009,BMW,535i,20.0,Midsize Cars
2009,BMW,535i Sport Wagon xDrive,18.5,Midsize Station Wagons
2009,BMW,535i xDrive,19.5,Midsize Cars
2009,BMW,550i,18.0,Midsize Cars
2009,BMW,650ci,18.0,Subcompact Cars
2009,BMW,650ci Convertible,17.0,Subcompact Cars
2009,BMW,750i,17.0,Large Cars
2009,BMW,750li,17.0,Large Cars
2009,BMW,M3,16.0,Compact Cars
2009,BMW,M3 Convertible,16.0,Subcompact Cars
2009,BMW,M3 Coupe,16.0,Subcompact Cars
2009,BMW,M5,13.0,Midsize Cars
2009,BMW,M6,13.0,Subcompact Cars
2009,BMW,M6 Convertible,13.0,Subcompact Cars
2009,BMW,X3 xDrive30i,19.5,Sport Utility Vehicle - 4WD
2009,BMW,X5 xDrive30i,18.0,Sport Utility Vehicle - 4WD
2009,BMW,X5 xDrive35d,22.0,Sport Utility Vehicle - 4WD
2009,BMW,X5 xDrive48i,16.0,Sport Utility Vehicle - 4WD
2009,BMW,X6 xDrive35i,17.0,Sport Utility Vehicle - 4WD
2009,BMW,X6 xDrive50i,15.0,Sport Utility Vehicle - 4WD
2009,BMW,Z4 sDrive30i,22.0,Two Seaters
2009,BMW,Z4 sDrive35i,20.0,Two Seaters
2009,Bentley,Arnage,11.0,Midsize Cars
2009,Bentley,Arnage RL,11.0,Large Cars
2009,Bentley,Azure,11.0,Compact Cars
2009,Bentley,Brooklands,11.0,Compact Cars
2009,Bentley,Continental Flying Spur,12.0,Midsize Cars
2009,Bentley,Continental GT,13.0,Compact Cars
2009,Bentley,Continental GTC,12.0,Subcompact Cars
2009,Buick,Enclave AWD,18.0,Sport Utility Vehicle - 4WD
2009,Buick,Enclave FWD,19.0,Sport Utility Vehicle - 2WD
2009,Buick,Lacrosse/Allure,20.0,Midsize Cars
2009,Buick,Lucerne,20.0,Large Cars
2009,Cadillac,CTS,19.5,Midsize Cars
